Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,118.18211770057678,-1.348634198006975,7
HyperKappa-BO,58.42009425163269,-1.348634198006975,16
Random Search,55.96873497962952,-1.348634198006975,24
LLM-GA_unrestricted_p0.05,185.53403544425964,-3247.4037657432286,35
LLM-GA_unrestricted_p0.1,191.17614769935608,-3247.4037657432286,1
LLM-GA_unrestricted_p0.3,262.0818223953247,-4946.254082959754,31
LLM-GA_unrestricted_p0.5,360.2084469795227,-4946.2591759210845,19
LLM-GA_unrestricted_p0.7,333.92473912239075,-4946.189933021949,47
LLM-GA_unrestricted_p0.9,332.44622921943665,-4946.2591759210845,47
LLM-GA_depth3_p0.05,158.7715549468994,-3247.4037657432286,1
LLM-GA_depth3_p0.1,208.1121528148651,-1.4023563845095544,25
LLM-GA_depth3_p0.3,192.15273022651672,-4946.280671732538,17
LLM-GA_depth3_p0.5,220.81923961639404,-1.4023563845095544,10
LLM-GA_depth3_p0.7,253.0547878742218,-1.4023563845095544,4
LLM-GA_depth3_p0.9,245.5591971874237,-1.5001985866832366,12
