iteration,RBF_BO,HyperKappa_BO,Random,LLM-GA_unrestricted_p0.05,LLM-GA_unrestricted_p0.1,LLM-GA_unrestricted_p0.3,LLM-GA_unrestricted_p0.5,LLM-GA_unrestricted_p0.7,LLM-GA_unrestricted_p0.9,LLM-GA_depth3_p0.05,LLM-GA_depth3_p0.1,LLM-GA_depth3_p0.3,LLM-GA_depth3_p0.5,LLM-GA_depth3_p0.7,LLM-GA_depth3_p0.9
0,-1.2898729166100873,-1.2898729166100873,-1.2898729166100873,-1.2898729166100873,-1.2898729166100873,-1.2898729166100873,-1.2898729166100873,-1.2898729166100873,-1.2898729166100873,-1.2898729166100873,-1.2898729166100873,-1.2898729166100873,-1.2898729166100873,-1.2898729166100873,-1.2898729166100873
1,-1.2898729166100873,-1.2898635006649122,-1.289867850123639,-1.2898676978835595,-1.2898676978835595,-1.2898729166100873,-1.2898676978835595,-1.2898729166100873,-1.2898676978835595,-1.289864239890275,-1.2898641634531425,-1.289864239890275,-1.289864239890275,-1.2898729166100873,-1.289864239890275
2,-1.2898660854065656,-1.2898631414532509,-1.289867850123639,-1.2898676978835595,-1.2898676978835595,-1.2898729166100873,-1.2898676978835595,-1.2898729166100873,-1.2898676978835595,-1.289864239890275,-1.2898641634531425,-1.289864239890275,-1.289864239890275,-1.289864239890275,-1.289864239890275
3,-1.2898660854065656,-1.2898631414532509,-1.289867850123639,-1.2898676978835595,-1.2898676978835595,-1.2898729166100873,-1.2898676978835595,-1.2898676978835595,-1.289864239890275,-1.289864239890275,-1.2898641634531425,-1.2898625109112118,-1.289864239890275,-1.289864239890275,-1.289864239890275
4,-1.2898660854065656,-1.2898631414532509,-1.289867850123639,-1.2898676978835595,-1.2898676978835595,-1.2898670032488795,-1.2898676978835595,-1.2898676978835595,-1.289864239890275,-1.289864239890275,-1.2898641634531425,-1.2898625109112118,-1.289864239890275,-1.289864239890275,-1.2898641634531425
5,-1.2898660854065656,-1.2898631414532509,-1.289867850123639,-1.2898676978835595,-1.2898676978835595,-1.2898670032488795,-1.2898676978835595,-1.2898676978835595,-1.289864239890275,-1.289864239890275,-1.2898641634531425,-1.2898625109112118,-1.289864239890275,-1.289864239890275,-1.2898641634531425
6,-1.2898633314680583,-1.2898631414532509,-1.289867850123639,-1.2898676978835595,-1.2898676978835595,-1.2898670032488795,-1.2898676978835595,-1.2898676978835595,-1.289864239890275,-1.289864239890275,-1.2898641634531425,-1.2898625109112118,-1.289864239890275,-1.289864239890275,-1.2898641634531425
7,-1.2898633314680583,-1.2898631414532509,-1.289867850123639,-1.289867164857847,-1.2898676978835595,-1.2898670032488795,-1.2898676978835595,-1.2898676978835595,-1.289864239890275,-1.289864239890275,-1.2898641634531425,-1.2898625109112118,-1.289864163032944,-1.289864239890275,-1.2898641634531425
8,-1.2898633314680583,-1.2898631414532509,-1.289867850123639,-1.2898618295201163,-1.2898676978835595,-1.2898670032488795,-1.2898676978835595,-1.289864239890275,-1.289864239890275,-1.289864239890275,-1.2898641634531425,-1.2898625109112118,-1.289864163032944,-1.289864239890275,-1.2898641634531425
9,-1.2898633314680583,-1.2898631414532509,-1.289867850123639,-1.2898618295201163,-1.2898676978835595,-1.2898670032488795,-1.2898676978835595,-1.289864239890275,-1.2898618295201163,-1.289864239890275,-1.2898641634531425,-1.2898625109112118,-1.2898625109112118,-1.289864239890275,-1.2898641634531425
10,-1.2898633314680583,-1.2898534622135793,-1.2898659721055536,-1.2898608856666607,-1.2898676978835595,-1.2898670032488795,-1.2898676978835595,-1.289864239890275,-1.2898618295201163,-1.289864239890275,-1.2898641634531425,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118,-1.2898641634531425
11,-1.2898633314680583,-1.2898534622135793,-1.2898659721055536,-1.2898608856666607,-1.2898676978835595,-1.2898670032488795,-1.2898676978835595,-1.289864239890275,-1.2898618295201163,-1.289864239890275,-1.2898641634531425,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118,-1.2898641634531425
12,-1.2898633314680583,-1.2898534622135793,-1.2898659721055536,-1.2898608856666607,-1.2898671648578004,-1.2898670032488795,-1.2898676978835595,-1.289864239890275,-1.2898618295201163,-1.289864239890275,-1.2898641634531425,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118
13,-1.2898633314680583,-1.2898534622135793,-1.2898659721055536,-1.2898608856666607,-1.2898671648578004,-1.2898670032488795,-1.2898676978835595,-1.289864239890275,-1.2898618295201163,-1.289862507235733,-1.2898641634531425,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118
14,-1.2898633314680583,-1.2898534622135793,-1.2898659721055536,-1.2898608856666607,-1.2898671648578004,-1.2898670032488795,-1.2898676978835595,-1.289864239890275,-1.2898618295201163,-1.289862507235733,-1.2898641634531425,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118
15,-1.2898633314680583,-1.2898534622135793,-1.2898659721055536,-1.2898608856666607,-1.2898671648578004,-1.2898670032488795,-1.2898676978835595,-1.289864239890275,-1.2898618295201163,-1.289862507235733,-1.2898641634531425,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118
16,-1.2898633314680583,-1.2898534622135793,-1.2898659721055536,-1.2898608856666607,-1.2898671648578004,-1.289863500001788,-1.2898676978835595,-1.289864239890275,-1.2898618295201163,-1.289862507235733,-1.2898613265252925,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118
17,-1.2898633314680583,-1.2898534622135793,-1.289863486643859,-1.2898608856666607,-1.2898671648578004,-1.289863500001788,-1.2898676978835595,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.2898613265252925,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118
18,-1.2898633314680583,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898671648578004,-1.289863500001788,-1.2898676978835595,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.2898613265252925,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118
19,-1.2898633314680583,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898643986596148,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.2898613265252925,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118,-1.2898625109112118
20,-1.2898633314680583,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898643986596148,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.2898613265252925,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
21,-1.2898534622154632,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898643986596148,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.2898613265252925,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
22,-1.2898534622154632,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.2898613265252925,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
23,-1.2898534622154632,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
24,-1.2898534622154632,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
25,-1.2898534622154632,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
26,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
27,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
28,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
29,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
30,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
31,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
32,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
33,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
34,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
35,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898625109112118,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
36,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898613263709324,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
37,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898613263709324,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
38,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898613263709324,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
39,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898613263709324,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
40,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898613263709324,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
41,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898613263709324,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
42,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898613263709324,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
43,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898613263709324,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
44,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898613263709324,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
45,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898613263709324,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
46,-1.2898534622135793,-1.2898534622135793,-1.2898631414532509,-1.2898608856666607,-1.2898618295201163,-1.289863500001788,-1.2898618295201163,-1.2898626618558529,-1.2898618295201163,-1.289862507235733,-1.28986067704041,-1.2898613263709324,-1.2898613263709324,-1.2898625109112118,-1.2898625109112118
