Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,106.484947681427,-1.5001450063414876,8
HyperKappa-BO,40.40669298171997,-1.5001450063414876,13
Random Search,42.46575951576233,-1.5002216030897169,20
LLM-GA_unrestricted_p0.05,245.88922262191772,-4946.247573400551,13
LLM-GA_unrestricted_p0.1,203.87966346740723,-1428.187747059181,33
LLM-GA_unrestricted_p0.3,258.18688201904297,-1428.187747059181,22
LLM-GA_unrestricted_p0.5,277.6045343875885,-1428.187747059181,17
LLM-GA_unrestricted_p0.7,287.42767095565796,-1428.187747059181,9
LLM-GA_unrestricted_p0.9,318.1045570373535,-1428.187747059181,17
LLM-GA_depth3_p0.05,164.56787657737732,-1322.784202951071,21
LLM-GA_depth3_p0.1,174.40709900856018,-4779.095317668205,9
LLM-GA_depth3_p0.3,213.4345896244049,-4779.095317668205,14
LLM-GA_depth3_p0.5,195.62463355064392,-1322.784202951071,43
LLM-GA_depth3_p0.7,230.27100777626038,-4779.095317668205,13
LLM-GA_depth3_p0.9,252.45507431030273,-4779.095317668205,6
