Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,108.66795086860657,-1.5001721606264788,3
HyperKappa-BO,44.053303241729736,-1.5001721606264788,30
Random Search,42.16358923912048,-1.500233796313681,4
LLM-GA_unrestricted_p0.05,138.73046588897705,-1078.805834855361,0
LLM-GA_unrestricted_p0.1,157.49358081817627,-1078.805834855361,0
LLM-GA_unrestricted_p0.3,168.45095086097717,-1078.805834855361,0
LLM-GA_unrestricted_p0.5,245.9171485900879,-1078.805834855361,0
LLM-GA_unrestricted_p0.7,284.52381801605225,-804.5620362821934,27
LLM-GA_unrestricted_p0.9,328.917662858963,-1078.805834855361,0
LLM-GA_depth3_p0.05,144.96187543869019,-1010.1389271546589,2
LLM-GA_depth3_p0.1,140.55638313293457,-1010.1389271546589,13
LLM-GA_depth3_p0.3,164.93850898742676,-1010.1389271546589,17
LLM-GA_depth3_p0.5,181.65603375434875,-1010.1389271546589,2
LLM-GA_depth3_p0.7,226.84575510025024,-1010.1389271546589,2
LLM-GA_depth3_p0.9,243.7052824497223,-1010.1389271546589,15
