Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,107.90243029594421,-1.5002207303576511,15
HyperKappa-BO,56.94733023643494,-1.5002207303576511,13
Random Search,59.169029712677,-1.5002339787444585,4
LLM-GA_unrestricted_p0.05,241.11144518852234,-2421.6186560051347,0
LLM-GA_unrestricted_p0.1,239.82396626472473,-1858.6007770341216,50
LLM-GA_unrestricted_p0.3,294.94657349586487,-2421.6186560051347,0
LLM-GA_unrestricted_p0.5,315.6546354293823,-2421.6186560051347,0
LLM-GA_unrestricted_p0.7,384.42174005508423,-2421.6186560051347,0
LLM-GA_unrestricted_p0.9,373.78400564193726,-2421.6186560051347,0
LLM-GA_depth3_p0.05,223.30630230903625,-1858.6007770341216,9
LLM-GA_depth3_p0.1,219.57113075256348,-2421.6186560051347,0
LLM-GA_depth3_p0.3,248.89200162887573,-2421.6186560051347,0
LLM-GA_depth3_p0.5,270.6621959209442,-1858.6007770341216,32
LLM-GA_depth3_p0.7,326.20802330970764,-2421.6186560051347,0
LLM-GA_depth3_p0.9,321.57976388931274,-1858.6007770341216,14
