Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,131.30076098442078,-1.5001586668724798,18
HyperKappa-BO,48.96628713607788,-1.5001586668724798,11
Random Search,45.077341079711914,-1.5002297283030455,7
LLM-GA_unrestricted_p0.05,165.07953476905823,-1472.7435309181978,11
LLM-GA_unrestricted_p0.1,242.0415484905243,-2258.3869138844693,7
LLM-GA_unrestricted_p0.3,250.5123462677002,-2070.623319060302,4
LLM-GA_unrestricted_p0.5,276.50735998153687,-2258.3869138844693,6
LLM-GA_unrestricted_p0.7,271.42914605140686,-1472.7435309181978,23
LLM-GA_unrestricted_p0.9,354.4291980266571,-2070.6233147585353,47
LLM-GA_depth3_p0.05,172.1993749141693,-1.5002297283030455,21
LLM-GA_depth3_p0.1,178.6188838481903,-1312.6960222059124,49
LLM-GA_depth3_p0.3,239.6737654209137,-2031.9402501164732,34
LLM-GA_depth3_p0.5,260.56870436668396,-2031.9402501164732,24
LLM-GA_depth3_p0.7,311.65617084503174,-1472.7435309181978,49
LLM-GA_depth3_p0.9,279.1268255710602,-1379.7680116887727,19
