,kernel,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
45,((RQ * RQ) + PER),0.00931737947070617,-0.04780385469114212,-0.0394544943603083,-0.005072207782981073,0.04935693621849776,-0.004692613610584604,-0.004124458934256047,0.008502459384318503,0.008608267604782631,-0.02270888616680114,-0.006898978868381561,0.0027837244754798807,-0.004136801614259053,-1.2244255289350269e-05,0.0005356124457815642
46,((RQ * RQ) + RQ),-0.20577885088055975,0.017082987998219022,0.01692925879275106,-0.012224630948760607,-0.001461194024171881,0.008467478455472346,-0.0007033477861447467,-0.006305534281549414,-0.008495095965634573,-0.00611229397740518,0.007222653408138626,-0.0024004383221004587,-0.004188084065649009,-0.0019499724002911667,0.003891393352456599
47,((RQ * RQ) + SE),-0.2059352100174914,0.026698296686423862,0.013055238626664498,-0.006039964198785188,-0.0026995241251241892,0.0007727666221010294,0.00409470695061739,0.002820864780635964,0.0027063839614129967,0.0023985615266133723,-0.00011292909149619855,-0.0017197243826800154,-0.00018356176445883483,-0.0013696727481397224,0.004657419298618204
48,((RQ * SE) * PER),0.18187431121660896,0.01675814183619466,0.010186233077390897,0.0256137342632347,0.01282892384985831,0.006878432159093847,0.018293041944196915,-0.007745991596746119,-0.004886544229098233,0.0003517416769315784,-0.0026753857438796434,0.006841673160626138,0.004214136792876946,-0.0012107264872046487,0.00185433414480941
49,((RQ * SE) * RQ),-0.15501090975245654,0.05119972087757972,-0.03399150041913093,0.030912005870459537,-0.011371319861976849,-0.012886253931451605,-0.012369089254436994,-0.00884608041798556,-0.004107532064147836,-0.0017938716710023065,0.001121359725725666,-0.002105905704030536,0.0011865380588580424,0.00037779473646468853,-0.0026998663904895547
50,((RQ * SE) * SE),-0.1545755869930459,0.05701752521014093,-0.03693919616301664,0.03327988941335418,-0.012007796382173485,-0.01501687656885842,-0.01209061187119724,-0.009302206928692965,-0.00201075288063424,-0.001972675257496059,0.0004511164572105283,-0.0008223347161461989,-1.3934046576865892e-05,4.9150354253026865e-05,-0.00014334017680395726
51,((RQ * SE) + PER),0.01123037744119928,-0.04474606972698135,-0.04181447240509729,-0.001379297891427586,0.048766670030102384,-0.009033177766889923,-0.0028892863498649157,0.009943097466516485,0.009437499786615396,-0.01992956505742036,-0.010248580186765988,0.007183460902110595,-0.0057032360446974415,0.000762314236730063,0.0030063466194145214
52,((RQ * SE) + RQ),-0.20569729668373615,0.022729950869001505,0.014423258446229338,-0.00874946060248582,-0.0028663553495532007,0.0054371574173091245,0.0014796585387694212,-0.0035936116967967727,-0.0057815129894117755,-0.003645014366442371,0.0037329196337733753,0.000737564219569226,-0.0034112657593903016,-0.0007853566099632361,0.007248778576217965
53,((RQ * SE) + SE),-0.20595002143434116,0.03234854582112844,0.010704246959659363,-0.002740108102304142,-0.003975168901060995,-0.0022402374825599186,0.006763981685609312,0.005230951908885508,0.007720588205192397,0.003958329978085429,-0.0025157395338991197,-0.0021775289914337096,0.0011532710394088663,-0.0022540926499568007,0.007559165646271287
54,((RQ + PER) * PER),0.18499102231830442,0.03367219576698942,-0.0036466076836146636,-0.022707605295238832,-0.003879742353456915,-0.005049716424432157,-0.01569690416932002,0.013803220643981647,0.0013489386324141805,0.0015088387611461658,0.012776355736605068,0.01131838574810433,0.00861405278564142,0.003218999336422333,0.007025542137870404
55,((RQ + PER) * RQ),0.03405630069933119,-0.050894158522655324,0.008214226208779386,0.021669985965035842,0.018750301150420253,-0.015370815597477532,0.00532172629420683,0.009890371106937648,-0.003323682945318057,0.001704848515460215,0.009938304412654612,-0.002745104197491321,-0.006626234895147592,0.00038940733737830653,-0.0014006581834636385
56,((RQ + PER) * SE),0.03696130732131675,-0.04405593394145366,0.0064441934412664235,0.026899415690507356,0.018330458819012914,-0.021039837457229576,0.007939683650069744,0.014970150397494934,0.001464926228002415,0.006379133458138992,0.010059666899872574,-3.540696733529963e-05,-0.004623652344201355,-0.0027077471705571196,-0.0026909800931280885
57,((RQ + PER) + PER),0.034521510497615565,-0.034775557008877904,-0.03884584958464573,-0.020580422394351955,-0.009943035515882694,0.02276955640248966,-0.010089618280750301,-0.00834880888564268,0.006952109151564814,0.004231450221702878,0.006168229606095279,0.003364736153980646,-0.005729005548608667,-0.008182000827577219,-0.00403531425872697
58,((RQ + PER) + RQ),-0.05472492457027305,-0.07784858705366657,0.00214495781401765,-0.01326051786713845,0.017980843687109657,0.0035940303358286676,-0.011814672209724805,-0.012592759274658673,-0.009033381313087816,-0.001228812475294417,0.002401836346123093,-0.003668473068370293,0.002975445967432165,0.0038492768254658857,0.0008144372054926971
59,((RQ + PER) + SE),-0.053415325046412866,-0.07356917238687825,-0.0017643306457233378,-0.008126480509874873,0.017664726555810924,-0.003984989180413695,-0.008714715385140757,-0.006532035508150919,-0.0040149966755665695,0.004269896304015692,-0.002003930258671774,-0.003458704490999311,0.006089742993154159,0.0033588358437265354,0.0009282085741619746
60,((RQ + RQ) * PER),0.15588628061405513,0.02074039124338997,-0.009470376702976449,0.0165587114928647,-0.003469866053830034,0.02551335965062052,0.0009602763217556046,0.0020420523038082584,0.0077872673285108605,0.004621838929878606,0.002694860400516962,-0.010599745142128655,-0.004174237487289923,0.0059126720995110885,0.00044557523646392947
61,((RQ + RQ) * RQ),-0.18772789978238424,0.031086933590155172,-0.005199135716578639,0.005093117961004501,-0.0012629977854448698,-0.0017202354026006573,-0.005283762104488393,-0.005633429116101593,-0.003460240417476244,-0.003261589556709101,0.0026306861315923595,-0.0004890198057080352,-0.0017237218231071964,-0.00019495838589403503,-0.001469313463246126
62,((RQ + RQ) * SE),-0.18733296413558428,0.042239605362567996,-0.010272466788965859,0.011292688910280943,-0.003234541321514826,-0.007607774429976918,-0.0020444555310957587,0.0001802648902071313,0.003929298063978984,0.0019440124560776968,-0.0006901030193550127,4.022732848008724e-05,0.0021648326809522813,0.0017675820374939805,-0.0009238081048243185
63,((RQ + RQ) + PER),-0.054717474936937176,-0.07782119681371476,0.0018908893176767115,-0.01321021707674525,0.01796725251035217,0.0036935326528757073,-0.011869370431501977,-0.011409038851350669,-0.010154848804209703,-0.0022146662715428825,0.0026504896013767334,-0.0035204260148040036,0.005751905380168908,0.0019152544906298405,6.870187122230575e-06
64,((RQ + RQ) + RQ),-0.22478161405865002,0.004986244095275546,0.035566821162959644,-0.03214324234337362,0.013864478658279047,0.021691762875077396,0.004882670152978608,-0.00352941105221868,-0.011566079959423813,-0.010743010451742892,0.006205410751587262,-0.00021421220694258002,-0.003444117002752596,0.001925607399625147,-0.00566710620850055
65,((RQ + RQ) + SE),-0.2251794672347738,0.011751485093997129,0.03305273077001143,-0.027862029504689523,0.013149303275867946,0.016765846824535392,0.009353298998977334,0.0018308995234258211,-0.004152337556087064,-0.003545517005684324,0.002314021938864234,0.0009750620479054362,-0.0014522682797011384,-0.0013670117943026664,-0.005498524452286754
66,((RQ + SE) * PER),0.16036628496280808,0.02058893270382621,-0.007685674931361555,0.020208603366066516,-0.0007998821084639594,0.02554714877473785,0.0034421475521680678,-0.0009630360041584113,0.006616670988098638,0.0037475668113330957,0.0007348272043699293,-0.009158228557745007,-0.003970238583982823,0.005871303926701428,0.003802052556378809
67,((RQ + SE) * RQ),-0.18751898391906174,0.036608620695011675,-0.007894009935396079,0.008247979684092856,-0.002151329983528199,-0.0048334260761548,-0.0038100827267990695,-0.002235732889353168,0.0004897365536418104,-0.002362737937346067,0.0024159854543626133,-0.0014252533614714578,0.0026518300063627107,-0.0018269817434830745,-0.0010626119558951228
68,((RQ + SE) * SE),-0.18729697767410006,0.04688337982548453,-0.01203097104490479,0.013378730916957975,-0.0033121503947116685,-0.009178791480247155,-0.000453940637513752,-0.0001908538794417752,0.004966463416663679,0.0033030630656512776,-0.0013262970794203951,-0.0006755791036857252,0.0003518047697057154,-0.002493383698806907,0.0015772554099376527
69,((RQ + SE) + PER),-0.053409104682774815,-0.07359355192859154,-0.001767008958764906,-0.008148388916350833,0.017628227789856142,-0.003734821320436798,-0.008757536689528616,-0.006491382213118444,-0.00451723010220077,0.004161876279423048,-0.001513835922874859,-0.004014318086978353,0.005528726427081242,0.0030728015436053443,0.001122785304089841
70,((RQ + SE) + RQ),-0.22511559266189834,0.011915256903118614,0.03286795289601396,-0.028311267862561097,0.012915070629969272,0.016481785807463664,0.00924737677944697,0.002421671509487052,-0.004329655628129109,-0.004050328443702942,0.002946263808936757,-0.00046350795644190803,-0.0015940447428962783,-0.001902523402418055,-0.0026051478383062278
71,((RQ + SE) + SE),-0.22560895695701172,0.018988933392243248,0.03038954680559479,-0.024923573274020946,0.012695997908189972,0.011609263733084105,0.01242990910108634,0.008921801406999644,0.0029975707192955578,0.003887265909776864,-0.0019077571887871185,0.0020634598086445304,0.000744690502391668,9.348696444409034e-05,-0.0036432407337786948
72,((SE * PER) * PER),0.25037679142404096,0.06514628167537125,0.0522247821561756,-0.019131683899830842,0.020348852804225236,-0.009030675564792588,-0.029493730795380004,-0.0033546660899392805,-0.0018716959309041342,0.002905043242846717,-0.00796598720899672,-0.004883013075148251,-0.006653770257167027,0.0004481523416865677,-0.0011202383241358906
73,((SE * PER) * RQ),0.18190568594680664,0.016770580925230906,0.010092632078807678,0.025660582697390008,0.013268491596238153,0.0070860403644367655,0.018033983230582355,-0.007639955256611019,-0.0064974264816564644,-0.0015247543490333267,-0.001221438174494716,0.005231954201871667,0.003813674719573276,-0.0020200129326126037,-0.0017036131926884723
74,((SE * PER) * SE),0.18406647790802547,0.016268673239725175,0.011310907586443243,0.025570394437248338,0.014195995746489587,0.004644019434347106,0.019129951798136657,-0.008827103274953169,-0.004839537119246597,-0.00015774404973384172,-0.002178273770705366,0.010773756004509314,0.0041160302057732315,-0.0006265716613612572,0.00016089923078186074
75,((SE * PER) + PER),0.13656730374091489,0.013811883683137622,-0.024980265084634194,-0.0030522112966716313,-0.023660789837538547,0.019082644489639554,-0.006986807657906449,0.021302929678917525,0.0012684551658730628,-0.01170491552500872,0.0021149364913000956,-0.008074425949699262,0.008546545416170502,-0.00011170911552739924,-0.004248087935406749
76,((SE * PER) + RQ),0.012987427012329921,-0.05910349476581162,0.041850725930969876,0.01307573799436096,-0.04931430507389918,-0.0010959440056420224,-0.0007540296152603134,0.001049477668136616,-0.0067374795497756245,-0.009808165930070976,-0.003150204296369182,-0.002501975997022419,-0.005775309699466583,-0.005169844922458254,0.002095405431106163
77,((SE * PER) + SE),0.015123017201070661,-0.0518547623211942,0.036901176537180266,0.0207529188290149,-0.05037820204260796,-0.011068700709645603,0.003580493182589083,0.010805723520828245,0.0013464789669310345,-0.0002553694500943916,-0.008863389426419207,-0.0029948182900628507,0.003593157347884063,-0.004692749871328772,-0.0017307970487295602
78,((SE * RQ) * PER),0.1818345855110916,0.01675918867980459,0.010507366984851815,0.025445487705720346,0.01242101643957984,0.0071487109669151425,0.018590384072498387,-0.0075788307099907,-0.004536759527032764,-0.000703078772310794,-0.0022204465872032275,0.00668432250294376,0.0026903685700244216,-0.004348587554202788,-0.00023151365096437862
79,((SE * RQ) * RQ),-0.15499264163166462,0.051314217732061664,-0.03382821373494431,0.030745730851176465,-0.01133706589765623,-0.012501682112674214,-0.012688469220167479,-0.008511675256683553,-0.004740651862693111,-0.0025742381386785105,0.0016096491321621674,-0.002505818883565891,0.0012709738168095478,0.00035461323980366666,-0.0034819463992562106
80,((SE * RQ) * SE),-0.15452024054188204,0.05708097467179489,-0.0369353163625527,0.03343576854258201,-0.012156705294889086,-0.014276095996952972,-0.01176836637522193,-0.00798724930971625,-0.0022376337519519787,-0.0027139601107764835,0.00011149069726949102,-0.0006215297258520961,0.0019223085031046818,0.0021485588867944548,-0.0032640015831201545
81,((SE * RQ) + PER),0.011267802354463181,-0.0448169117301367,-0.041769577100039826,-0.0018166261213886981,0.0487147014535861,-0.008378971042237573,-0.0029595826098778285,0.009254565456306443,0.009334195590790167,-0.021132373604797833,-0.010863581388259722,0.004207024967857469,-0.005883557273348393,0.0010848223326290147,0.0031171224841194203
82,((SE * RQ) + RQ),-0.20572259223580572,0.022680505964499723,0.014380127973141693,-0.008983951261166905,-0.0028691006488573826,0.005007199279014626,0.0013640338047381352,-0.003963022949954429,-0.004777031719285869,-0.004344574588366775,0.005364431529795851,0.0010281962570307032,-0.0025820795682990412,-0.0021487133786062614,0.009827681776672908
83,((SE * RQ) + SE),-0.20583994316715784,0.03248756444624745,0.011178897354889012,-0.002385064687012835,-0.003948283733309376,-0.0015271538545737237,0.0067981223213603986,0.004764213709146492,0.006561521218684951,0.0047794887211050656,-0.0037844577897518756,0.0006505840210272095,0.0013440733936338298,-0.0005630575244114198,0.006859204977304186
84,((SE * SE) * PER),0.18400937180842206,0.016426408361766266,0.011358377929695667,0.025592795250994664,0.01467211751893345,0.005010465969471891,0.019216033345668848,-0.008092159997092997,-0.007217377416968479,-0.001972387352315866,-0.0017868545192646936,0.007901618021198863,0.005041118195111888,-0.0017033451532392635,-0.002102562792156649
