Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,92.35252213478088,-1.5002099522799428,11
HyperKappa-BO,41.185800552368164,-1.5002099522799428,11
Random Search,37.203794956207275,-1.5002202722789797,35
LLM-GA_unrestricted_p0.05,177.47107434272766,-4946.357110717103,29
LLM-GA_unrestricted_p0.1,172.83561658859253,-4946.304630630144,9
LLM-GA_unrestricted_p0.3,226.49032711982727,-4946.345183735619,8
LLM-GA_unrestricted_p0.5,249.33100581169128,-4946.34518376974,9
LLM-GA_unrestricted_p0.7,281.94054198265076,-4946.319369118448,3
LLM-GA_unrestricted_p0.9,312.26284766197205,-4946.34518376974,15
LLM-GA_depth3_p0.05,156.51564145088196,-1.5002099522799428,32
LLM-GA_depth3_p0.1,154.07994961738586,-4946.34518376974,4
LLM-GA_depth3_p0.3,200.55554485321045,-4946.345183735619,24
LLM-GA_depth3_p0.5,207.53840446472168,-4946.34518376974,13
LLM-GA_depth3_p0.7,228.09241938591003,-4946.345183735619,10
LLM-GA_depth3_p0.9,255.2841761112213,-4946.34518376974,1
