Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,90.31592440605164,-1.5001450063414876,12
HyperKappa-BO,39.35862493515015,-1.5001450063414876,12
Random Search,44.073659896850586,-1.5002202691147566,2
LLM-GA_unrestricted_p0.05,187.07088375091553,-1481.0592494534517,0
LLM-GA_unrestricted_p0.1,172.41437339782715,-1428.187747059181,36
LLM-GA_unrestricted_p0.3,237.87790203094482,-1481.0592494534517,0
LLM-GA_unrestricted_p0.5,240.47680473327637,-1481.0592494534517,0
LLM-GA_unrestricted_p0.7,248.67126989364624,-1481.0592494534517,0
LLM-GA_unrestricted_p0.9,311.86843276023865,-1481.0592494534517,0
LLM-GA_depth3_p0.05,135.9592080116272,-1481.0592494534517,0
LLM-GA_depth3_p0.1,148.39232921600342,-1480.9629608889072,11
LLM-GA_depth3_p0.3,166.5246605873108,-1481.0592494534517,0
LLM-GA_depth3_p0.5,214.36407113075256,-1481.0592494534517,0
LLM-GA_depth3_p0.7,289.91057991981506,-1481.0592494534517,0
LLM-GA_depth3_p0.9,259.69674348831177,-1481.0592494534517,0
