Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,82.55341696739197,-1.2898610739712393,13
HyperKappa-BO,65.64818978309631,-1.2898534622135793,4
Random Search,61.55436086654663,-1.2898534622135793,36
LLM-GA_unrestricted_p0.05,274.5155520439148,-1.289864163032944,1
LLM-GA_unrestricted_p0.1,240.30545377731323,-1.289864163032944,2
LLM-GA_unrestricted_p0.3,300.691055059433,-1.2898592516097467,37
LLM-GA_unrestricted_p0.5,400.4991526603699,-1.289864163032944,42
LLM-GA_unrestricted_p0.7,462.54040718078613,-1.2898581393068083,32
LLM-GA_unrestricted_p0.9,460.7757992744446,-1.2897578132608414,29
LLM-GA_depth3_p0.05,161.00284957885742,-1.289862507235733,50
LLM-GA_depth3_p0.1,186.23784160614014,-1.289864163032944,17
LLM-GA_depth3_p0.3,250.38616013526917,-1.2897578132608414,18
LLM-GA_depth3_p0.5,292.373099565506,-1.2897578132608414,29
LLM-GA_depth3_p0.7,316.7764222621918,-1.2898625109112118,8
LLM-GA_depth3_p0.9,386.2510597705841,-1.289864163032944,17
