Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,84.4663941860199,-1.2898610739712393,36
HyperKappa-BO,48.811103105545044,-1.2898534622135793,5
Random Search,66.04241919517517,-1.289862507235733,29
LLM-GA_unrestricted_p0.05,261.7695870399475,-1.2898619628787986,25
LLM-GA_unrestricted_p0.1,249.11333465576172,-1.2898610490670672,14
LLM-GA_unrestricted_p0.3,364.8470296859741,-1.2897578132608414,28
LLM-GA_unrestricted_p0.5,395.82979226112366,-1.2898635026553165,25
LLM-GA_unrestricted_p0.7,389.4577305316925,-1.2898626618808118,5
LLM-GA_unrestricted_p0.9,389.0469181537628,-1.2898538801330535,5
LLM-GA_depth3_p0.05,145.8277485370636,-1.2898625109112118,10
LLM-GA_depth3_p0.1,191.67730402946472,-1.2898598098300935,19
LLM-GA_depth3_p0.3,266.0291872024536,-1.2898608707240684,48
LLM-GA_depth3_p0.5,276.2304050922394,-1.289862507235733,12
LLM-GA_depth3_p0.7,265.9136481285095,-1.289863486643859,20
LLM-GA_depth3_p0.9,248.9899079799652,-1.2898625109112118,20
