Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,131.31741333007812,-1.5001450063414876,2
HyperKappa-BO,44.59289574623108,-1.5001450063414876,8
Random Search,30.86155939102173,-1.5002216030897169,48
LLM-GA_unrestricted_p0.05,232.36381483078003,-1.5002217128639603,0
LLM-GA_unrestricted_p0.1,211.66945099830627,-1.5002217128639603,0
LLM-GA_unrestricted_p0.3,261.33908319473267,-1.5002217128639603,0
LLM-GA_unrestricted_p0.5,292.8071448802948,-1.5002217128639603,0
LLM-GA_unrestricted_p0.7,346.6950969696045,-1.5002217128639603,0
LLM-GA_unrestricted_p0.9,394.8912761211395,-1.5002217128639603,0
LLM-GA_depth3_p0.05,181.37900567054749,-1.5002217128639603,0
LLM-GA_depth3_p0.1,181.66450929641724,-1.5002217128639603,0
LLM-GA_depth3_p0.3,197.43545198440552,-1.5002217128639603,0
LLM-GA_depth3_p0.5,261.6981544494629,-1.5002217128639603,0
LLM-GA_depth3_p0.7,301.74033761024475,-1.5002217128639603,0
LLM-GA_depth3_p0.9,319.42075204849243,-1.5002217128639603,0
