Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,79.46669411659241,-1.348634198006975,22
HyperKappa-BO,83.59440302848816,-1.3564268571844298,25
Random Search,52.318907260894775,-1.348634198006975,12
LLM-GA_unrestricted_p0.05,289.548376083374,-4945.173888566478,19
LLM-GA_unrestricted_p0.1,184.91712284088135,-4946.30958366367,2
LLM-GA_unrestricted_p0.3,256.1052260398865,-4946.2591759210845,43
LLM-GA_unrestricted_p0.5,298.1497538089752,-4946.30958366367,1
LLM-GA_unrestricted_p0.7,339.2878580093384,-4946.30958366367,10
LLM-GA_unrestricted_p0.9,332.91033482551575,-4946.30958366367,10
LLM-GA_depth3_p0.05,166.73199152946472,-1.4023569004091916,15
LLM-GA_depth3_p0.1,218.65583896636963,-4946.30958366367,29
LLM-GA_depth3_p0.3,252.2078742980957,-4946.309198408241,18
LLM-GA_depth3_p0.5,255.79311990737915,-4946.30958366367,18
LLM-GA_depth3_p0.7,287.551064491272,-1.4023569004091916,37
LLM-GA_depth3_p0.9,374.03698563575745,-4946.309198408241,1
