Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,71.72690892219543,-1.5002099522799428,26
HyperKappa-BO,45.50728750228882,-1.5002099522799428,3
Random Search,30.391778230667114,-1.5002202722789797,13
LLM-GA_unrestricted_p0.05,150.02834367752075,-4946.277405191857,0
LLM-GA_unrestricted_p0.1,162.24483609199524,-4946.277405191857,0
LLM-GA_unrestricted_p0.3,187.88443326950073,-4946.277405191857,0
LLM-GA_unrestricted_p0.5,234.8158838748932,-4946.277405191857,0
LLM-GA_unrestricted_p0.7,269.8464481830597,-4946.277405191857,0
LLM-GA_unrestricted_p0.9,278.27837014198303,-4946.277405191857,0
LLM-GA_depth3_p0.05,136.43326783180237,-1.5002099522799428,11
LLM-GA_depth3_p0.1,145.07451367378235,-1.5002099522799428,11
LLM-GA_depth3_p0.3,195.53775000572205,-4946.277405191857,0
LLM-GA_depth3_p0.5,226.7097556591034,-4946.277405191857,0
LLM-GA_depth3_p0.7,271.2982738018036,-4946.277405191857,0
LLM-GA_depth3_p0.9,265.4697983264923,-4946.277405191857,0
