Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,125.939444065094,-1.5002207303576511,6
HyperKappa-BO,84.57797503471375,-1.5002207303576511,11
Random Search,56.95154666900635,-1.500222262855706,13
LLM-GA_unrestricted_p0.05,377.52542638778687,-4946.2528541815,0
LLM-GA_unrestricted_p0.1,385.2100293636322,-4946.2528541815,0
LLM-GA_unrestricted_p0.3,363.1693880558014,-4946.2528541815,0
LLM-GA_unrestricted_p0.5,365.5273480415344,-4946.2528541815,0
LLM-GA_unrestricted_p0.7,514.1545479297638,-4946.2528541815,0
LLM-GA_unrestricted_p0.9,404.90585803985596,-1858.6007770341216,17
LLM-GA_depth3_p0.05,219.50283241271973,-1.50023345640698,24
LLM-GA_depth3_p0.1,249.01037669181824,-4946.25277378433,22
LLM-GA_depth3_p0.3,260.55375838279724,-1.50023345640698,8
LLM-GA_depth3_p0.5,304.6887528896332,-4946.2528541815,0
LLM-GA_depth3_p0.7,333.6790120601654,-1858.6007770341216,11
LLM-GA_depth3_p0.9,408.5628504753113,-1858.6007770341216,16
