iteration,RBF_BO,HyperKappa_BO,Random,LLM-GA_unrestricted_p0.05,LLM-GA_unrestricted_p0.1,LLM-GA_unrestricted_p0.3,LLM-GA_unrestricted_p0.5,LLM-GA_unrestricted_p0.7,LLM-GA_unrestricted_p0.9,LLM-GA_depth3_p0.05,LLM-GA_depth3_p0.1,LLM-GA_depth3_p0.3,LLM-GA_depth3_p0.5,LLM-GA_depth3_p0.7,LLM-GA_depth3_p0.9
0,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815
1,-1.50023345640698,-1.5002329352582244,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815
2,-1.50023345640698,-1.5002329352582244,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815
3,-1.50023345640698,-1.5002329352582244,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815
4,-1.50023345640698,-1.500222262855706,-8.291761996434696,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815
5,-1.50023345640698,-1.500222262855706,-8.291761996434696,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.25277378433,-4946.2528541815
6,-1.5002207303576511,-1.500222262855706,-8.291761996434696,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.25277378433,-4946.2528541815
7,-1.5002207303576511,-1.500222262855706,-8.291761996434696,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.25277378433,-4946.2528541815
8,-1.5002207303576511,-1.500222262855706,-8.291761996434696,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.25277378433,-4946.2528541815,-4946.2528541815,-1.50023345640698,-4946.2528541815,-4946.25277378433,-4946.2528541815
9,-1.5002207303576511,-1.500222262855706,-8.291761996434696,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.2528541815,-4946.25277378433,-4946.2528541815,-4946.2528541815,-1.50023345640698,-4946.2528541815,-4946.25277378433,-4946.2528541815
