Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,72.05497217178345,-1.5001721606264788,17
HyperKappa-BO,46.229633808135986,-1.5001721606264788,15
Random Search,37.56569743156433,-1.5001721606265028,18
LLM-GA_unrestricted_p0.05,160.3262734413147,-968.5228951060897,0
LLM-GA_unrestricted_p0.1,184.0077178478241,-627.5125344688385,16
LLM-GA_unrestricted_p0.3,210.04190969467163,-627.5125344688385,21
LLM-GA_unrestricted_p0.5,220.53365015983582,-627.5125344688385,13
LLM-GA_unrestricted_p0.7,225.54718446731567,-627.5125344688385,37
LLM-GA_unrestricted_p0.9,244.96257638931274,-627.5125344688385,26
LLM-GA_depth3_p0.05,134.1052107810974,-804.5620362821934,24
LLM-GA_depth3_p0.1,137.3579545021057,-1.5002296725319524,8
LLM-GA_depth3_p0.3,149.87314462661743,-804.5620362821934,8
LLM-GA_depth3_p0.5,171.00855827331543,-804.5620362821934,21
LLM-GA_depth3_p0.7,194.3618335723877,-1.5002296725319524,6
LLM-GA_depth3_p0.9,218.9585404396057,-804.5620362821934,2
