Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,87.66041970252991,-1.348634198006975,5
HyperKappa-BO,53.666532039642334,-1.348634198006975,11
Random Search,65.9842791557312,-1.3775439514096572,50
LLM-GA_unrestricted_p0.05,219.6400706768036,-4946.324683028248,35
LLM-GA_unrestricted_p0.1,240.08088874816895,-4946.2591759210845,33
LLM-GA_unrestricted_p0.3,240.46660661697388,-4946.30958366367,15
LLM-GA_unrestricted_p0.5,273.69200348854065,-4946.30958366367,1
LLM-GA_unrestricted_p0.7,344.34138441085815,-4946.2591759210845,23
LLM-GA_unrestricted_p0.9,423.45792984962463,-4946.278711409332,38
LLM-GA_depth3_p0.05,172.56327319145203,-4946.309198408241,20
LLM-GA_depth3_p0.1,180.5180697441101,-4946.30958366367,15
LLM-GA_depth3_p0.3,223.77303767204285,-1.5001985866832366,50
LLM-GA_depth3_p0.5,264.55509400367737,-4946.30958366367,21
LLM-GA_depth3_p0.7,280.78393030166626,-4946.30958366367,28
LLM-GA_depth3_p0.9,328.68361806869507,-4946.30958366367,17
