Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,125.42065715789795,-1.5002207303576511,27
HyperKappa-BO,68.27318453788757,-1.5002207303576511,7
Random Search,73.91626787185669,-1.5002207303576511,20
LLM-GA_unrestricted_p0.05,434.1445620059967,-3204.6016200979266,0
LLM-GA_unrestricted_p0.1,414.25458121299744,-3204.6016200979266,0
LLM-GA_unrestricted_p0.3,432.2169213294983,-1858.6007770341216,36
LLM-GA_unrestricted_p0.5,507.5883593559265,-3204.6016200979266,0
LLM-GA_unrestricted_p0.7,499.8997061252594,-3204.6016200979266,0
LLM-GA_unrestricted_p0.9,455.10503911972046,-1858.6007770341216,34
LLM-GA_depth3_p0.05,473.56847524642944,-3204.6016200979266,0
LLM-GA_depth3_p0.1,658.5263936519623,-2778.464396761778,3
LLM-GA_depth3_p0.3,449.7366783618927,-3204.6016200979266,0
LLM-GA_depth3_p0.5,471.3409671783447,-3204.6016200979266,0
LLM-GA_depth3_p0.7,319.561252117157,-1.50023345640698,4
LLM-GA_depth3_p0.9,339.8721070289612,-1.50023345640698,18
