Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,74.56168746948242,-1.5001450063414876,13
HyperKappa-BO,47.00928521156311,-1.5001450063414876,14
Random Search,54.57269501686096,-1.5001450063414876,28
LLM-GA_unrestricted_p0.05,162.80192255973816,-1320.7995417901093,0
LLM-GA_unrestricted_p0.1,170.2389509677887,-1320.7995417901093,0
LLM-GA_unrestricted_p0.3,193.4821481704712,-1320.7995417901093,0
LLM-GA_unrestricted_p0.5,273.81502890586853,-1320.7995417901093,0
LLM-GA_unrestricted_p0.7,288.6188769340515,-1320.7995417901093,0
LLM-GA_unrestricted_p0.9,309.05602049827576,-1320.7995417901093,0
LLM-GA_depth3_p0.05,169.33066415786743,-1.5001450063414876,8
LLM-GA_depth3_p0.1,167.90244841575623,-1.5001450063414876,25
LLM-GA_depth3_p0.3,175.96083736419678,-1320.7995417901093,0
LLM-GA_depth3_p0.5,219.03121733665466,-1320.7995417901093,0
LLM-GA_depth3_p0.7,219.23571228981018,-1320.7995417901093,0
LLM-GA_depth3_p0.9,241.68604850769043,-1320.7995417901093,0
