Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,68.54388523101807,-1.5002099522799428,10
HyperKappa-BO,48.29493427276611,-1.5002099522799428,5
Random Search,32.79766035079956,-349.0200069028415,4
LLM-GA_unrestricted_p0.05,168.60234427452087,-4946.34518376974,29
LLM-GA_unrestricted_p0.1,161.55310201644897,-4946.34518376974,15
LLM-GA_unrestricted_p0.3,195.14884185791016,-4946.345183735619,6
LLM-GA_unrestricted_p0.5,228.29037404060364,-4946.34518376974,18
LLM-GA_unrestricted_p0.7,256.017235994339,-4946.345183735619,16
LLM-GA_unrestricted_p0.9,274.9191093444824,-4946.345183735619,31
LLM-GA_depth3_p0.05,134.95233845710754,-4946.345183735619,21
LLM-GA_depth3_p0.1,141.51550483703613,-4946.345183735619,4
LLM-GA_depth3_p0.3,153.3351697921753,-4946.34518376974,15
LLM-GA_depth3_p0.5,204.25523209571838,-4946.34518376974,28
LLM-GA_depth3_p0.7,215.0672583580017,-1.5002099522799428,22
LLM-GA_depth3_p0.9,239.00114488601685,-4946.345183735619,2
