Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,106.52670431137085,-1.5002207303576511,17
HyperKappa-BO,88.17605876922607,-1.5002207303576511,6
Random Search,108.9032096862793,-1.50023345640698,28
LLM-GA_unrestricted_p0.05,220.37701678276062,-121.5697230083921,43
LLM-GA_unrestricted_p0.1,234.49873304367065,-121.58039102650491,0
LLM-GA_unrestricted_p0.3,272.79232001304626,-121.58039102650491,0
LLM-GA_unrestricted_p0.5,314.5401964187622,-121.58039102650491,0
LLM-GA_unrestricted_p0.7,334.0502290725708,-121.58039102650491,0
LLM-GA_unrestricted_p0.9,314.10267186164856,-121.58039102650491,0
LLM-GA_depth3_p0.05,154.23552536964417,-7.998588269986833,27
LLM-GA_depth3_p0.1,194.1747705936432,-1.50023345640698,31
LLM-GA_depth3_p0.3,198.7639675140381,-1.50023345640698,13
LLM-GA_depth3_p0.5,263.02465867996216,-121.58039102650491,0
LLM-GA_depth3_p0.7,321.59130907058716,-121.58039102650491,0
LLM-GA_depth3_p0.9,273.60607647895813,-7.998588269986833,24
