Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,93.03716492652893,-1.348634198006975,8
HyperKappa-BO,52.03466033935547,-1.348634198006975,3
Random Search,50.68640923500061,-1.3564268571844298,34
LLM-GA_unrestricted_p0.05,205.70230770111084,-1.4023540351684027,32
LLM-GA_unrestricted_p0.1,216.72866082191467,-1.4023515513677358,22
LLM-GA_unrestricted_p0.3,296.07222390174866,-1.4023531204930302,42
LLM-GA_unrestricted_p0.5,219.17288088798523,-1.4023515513677358,38
LLM-GA_unrestricted_p0.7,303.4916889667511,-1.4023531204930302,48
LLM-GA_unrestricted_p0.9,339.004679441452,-1.4023515513677358,3
LLM-GA_depth3_p0.05,180.10941338539124,-1.4023515513677358,20
LLM-GA_depth3_p0.1,251.15997052192688,-1.4023515513677358,48
LLM-GA_depth3_p0.3,231.98597764968872,-1.4023515513677358,19
LLM-GA_depth3_p0.5,235.03501152992249,-1.4023515513677358,15
LLM-GA_depth3_p0.7,251.42678904533386,-1.4023515513677358,2
LLM-GA_depth3_p0.9,273.27792596817017,-1.4023515513677358,2
