Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,103.83737897872925,-1.2898534622135793,33
HyperKappa-BO,84.02051949501038,-1.2898534622135793,7
Random Search,75.29266858100891,-1.289864163032944,0
LLM-GA_unrestricted_p0.05,256.9820468425751,-1.2898637117716885,7
LLM-GA_unrestricted_p0.1,296.22347116470337,-1.289858824531276,40
LLM-GA_unrestricted_p0.3,265.09913396835327,-1.2898637117716885,5
LLM-GA_unrestricted_p0.5,346.92545533180237,-1.289858824531276,29
LLM-GA_unrestricted_p0.7,393.4677574634552,-1.2898635026553165,6
LLM-GA_unrestricted_p0.9,468.1217963695526,-1.289858824531276,24
LLM-GA_depth3_p0.05,166.75498414039612,-1.289863486643859,32
LLM-GA_depth3_p0.1,198.7289457321167,-1.289863486643859,34
LLM-GA_depth3_p0.3,181.8923864364624,-1.2898625109112118,49
LLM-GA_depth3_p0.5,279.56390738487244,-1.289864163032944,0
LLM-GA_depth3_p0.7,237.9711790084839,-1.289863486643859,8
LLM-GA_depth3_p0.9,341.04826045036316,-1.2897578132608414,40
