Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,154.0932478904724,-1.5001586668724798,18
HyperKappa-BO,49.96315884590149,-1.5001586668724798,12
Random Search,45.61912703514099,-1.5002337906472258,39
LLM-GA_unrestricted_p0.05,198.98520922660828,-2565.875367771585,0
LLM-GA_unrestricted_p0.1,181.41807556152344,-1472.7435309181978,16
LLM-GA_unrestricted_p0.3,210.2160930633545,-1472.7435309181978,36
LLM-GA_unrestricted_p0.5,253.38624501228333,-2258.3869134205556,26
LLM-GA_unrestricted_p0.7,324.6233139038086,-2258.3869134205556,24
LLM-GA_unrestricted_p0.9,286.7218759059906,-1472.7435309181978,12
LLM-GA_depth3_p0.05,185.04018354415894,-2565.875367771585,0
LLM-GA_depth3_p0.1,194.33816242218018,-1379.7680116887727,15
LLM-GA_depth3_p0.3,235.26410913467407,-1379.7680116887727,16
LLM-GA_depth3_p0.5,237.12843346595764,-1.5002297283030455,30
LLM-GA_depth3_p0.7,270.79159474372864,-1379.7680116887727,19
LLM-GA_depth3_p0.9,299.826078414917,-2565.875367771585,0
