Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,146.72554993629456,-1.2898534622135793,34
HyperKappa-BO,77.23592281341553,-1.2898534622135793,23
Random Search,65.29173111915588,-1.2898630383948757,23
LLM-GA_unrestricted_p0.05,243.71895217895508,-1.2897578132608414,33
LLM-GA_unrestricted_p0.1,262.6137180328369,-1.2898619628507015,20
LLM-GA_unrestricted_p0.3,296.3714108467102,-1.2898605889259889,9
LLM-GA_unrestricted_p0.5,433.3897514343262,-1.2898641634531425,2
LLM-GA_unrestricted_p0.7,434.3730034828186,-1.2898610490670672,41
LLM-GA_unrestricted_p0.9,428.6597878932953,-1.2898607721303161,28
LLM-GA_depth3_p0.05,196.53204560279846,-1.2898534622135793,14
LLM-GA_depth3_p0.1,208.41626477241516,-1.2898534622135793,11
LLM-GA_depth3_p0.3,181.5934247970581,-1.2898625109112118,18
LLM-GA_depth3_p0.5,219.34307193756104,-1.2897578132608414,10
LLM-GA_depth3_p0.7,282.56224036216736,-1.2898534622135793,19
LLM-GA_depth3_p0.9,330.6755440235138,-1.2898625109112118,20
