Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,119.41373491287231,-1.5001586668724798,16
HyperKappa-BO,51.91917324066162,-1.5001586668724798,17
Random Search,46.77769160270691,-1.5002297283030455,28
LLM-GA_unrestricted_p0.05,285.96923089027405,-2281.716500865778,42
LLM-GA_unrestricted_p0.1,260.77115058898926,-2607.0002349888473,43
LLM-GA_unrestricted_p0.3,259.66959619522095,-2258.3869138844693,4
LLM-GA_unrestricted_p0.5,227.0813853740692,-1472.7435309181978,13
LLM-GA_unrestricted_p0.7,267.92838430404663,-1472.7435309181978,6
LLM-GA_unrestricted_p0.9,282.25850009918213,-1472.7435309181978,3
LLM-GA_depth3_p0.05,151.672545671463,-1.5002297283030455,23
LLM-GA_depth3_p0.1,194.09678030014038,-2607.0002349888473,38
LLM-GA_depth3_p0.3,207.71194458007812,-2565.875367771585,42
LLM-GA_depth3_p0.5,241.56321549415588,-1.5002297283030455,42
LLM-GA_depth3_p0.7,244.34436297416687,-2031.9402501164732,2
LLM-GA_depth3_p0.9,296.315336227417,-2565.875367771585,7
