Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,77.88561248779297,-1.5002099522799428,2
HyperKappa-BO,49.74323010444641,-1.5002099522799428,4
Random Search,37.84154534339905,-1.5002309751956702,22
LLM-GA_unrestricted_p0.05,189.1836588382721,-1.5002309751956735,0
LLM-GA_unrestricted_p0.1,170.38445711135864,-1.5002309751956735,0
LLM-GA_unrestricted_p0.3,203.48731470108032,-1.5002309751956735,0
LLM-GA_unrestricted_p0.5,229.86319160461426,-1.5002309751956735,0
LLM-GA_unrestricted_p0.7,261.1380293369293,-1.5002309751956735,0
LLM-GA_unrestricted_p0.9,321.2156038284302,-1.5002309751956735,0
LLM-GA_depth3_p0.05,145.78415703773499,-1.5002309751956735,0
LLM-GA_depth3_p0.1,158.62213611602783,-1.5002309751956735,0
LLM-GA_depth3_p0.3,179.99664974212646,-1.5002309751956735,0
LLM-GA_depth3_p0.5,204.5700900554657,-1.5002309751956735,0
LLM-GA_depth3_p0.7,236.23998427391052,-1.5002309751956735,0
LLM-GA_depth3_p0.9,252.87338972091675,-1.5002309751956735,0
