iteration,RBF_BO,HyperKappa_BO,Random,LLM-GA_unrestricted_p0.05,LLM-GA_unrestricted_p0.1,LLM-GA_unrestricted_p0.3,LLM-GA_unrestricted_p0.5,LLM-GA_unrestricted_p0.7,LLM-GA_unrestricted_p0.9,LLM-GA_depth3_p0.05,LLM-GA_depth3_p0.1,LLM-GA_depth3_p0.3,LLM-GA_depth3_p0.5,LLM-GA_depth3_p0.7,LLM-GA_depth3_p0.9
0,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678
1,-4898.299326960678,-2408.341671631624,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-4898.299326960678,-2311.09724380378,-4898.299326960678,-4898.299326960678,-4898.299326960678
2,-2969.7816480664055,-805.948855167217,-2408.341671631624,-4898.299326960678,-4898.299326960678,-3142.891467856238,-4898.299326960678,-2137.7164140649875,-2137.7164140649875,-3142.891467856238,-2137.7164168968443,-2311.09724380378,-3142.891467856238,-2137.7164140649875,-2137.7164140649875
3,-2969.7816480664055,-1.50022320648243,-2408.341671631624,-2137.7164140649875,-4898.299326960678,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875
4,-2137.7164140649875,-1.5001721606265028,-1896.9838847732037,-2137.7164140649875,-4898.299326960678,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-1010.1389271546589,-2137.7164140649875,-1010.1389271546589
5,-1033.680288528122,-1.5001721606265028,-1896.9838847732037,-2137.7164140649875,-4898.299326960678,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-1010.1389271546589,-2137.7164140649875,-1010.1389271546589
6,-1.500233796313681,-1.5001721606265028,-1896.9838847732037,-2137.7164140649875,-2137.7164168968443,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-1010.1389271546589,-1010.1389271546589,-1010.1389271546589
7,-1.500233796313681,-1.5001721606265028,-1896.9838847732037,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-1010.1389271546589,-2137.7164140649875,-1010.1389271546589,-1010.1389271546589,-1010.1389271546589
8,-1.500233796313681,-1.5001721606265028,-1896.9838847732037,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-1010.1389271546589,-2137.7164140649875,-1010.1389271546589,-1010.1389271546589,-1010.1389271546589
9,-1.500233796313681,-1.5001721606265028,-1896.9838847732037,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-1010.1389271546589,-2137.7164140649875,-1010.1389271546589,-1010.1389271546589,-1010.1389271546589
10,-1.500233796313681,-1.5001721606265028,-1896.9838847732037,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-1010.1389271546589,-2137.7164140649875,-1010.1389271546589,-1010.1389271546589,-1010.1389271546589
11,-1.500233796313681,-1.5001721606265028,-1896.9838847732037,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-1010.1389271546589,-2137.7164140649875,-1010.1389271546589,-1010.1389271546589,-1010.1389271546589
12,-1.500233796313681,-1.5001721606265028,-1896.9838847732037,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-1010.1389271546589,-2137.7164140649875,-1010.1389271546589,-1010.1389271546589,-1010.1389271546589
13,-1.500233796313681,-1.5001721606265028,-1896.9838847732037,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-2137.7164140649875,-2137.7164140649875,-2137.7164140649875,-2137.7164126272023,-1010.1389271546589,-1010.1389271546589,-1010.1389271546589,-1010.1389271546589,-1010.1389271546589
