Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,157.15996289253235,-1.5001721606264788,15
HyperKappa-BO,65.29824662208557,-1.5001721606264788,30
Random Search,63.11038112640381,-1.500233113921765,35
LLM-GA_unrestricted_p0.05,160.4141640663147,-2137.7164140649875,3
LLM-GA_unrestricted_p0.1,196.83446621894836,-2137.7164140649875,7
LLM-GA_unrestricted_p0.3,320.39184617996216,-1868.026550913508,15
LLM-GA_unrestricted_p0.5,259.1959660053253,-2137.7164140649875,3
LLM-GA_unrestricted_p0.7,289.1040155887604,-1010.1389271546589,48
LLM-GA_unrestricted_p0.9,294.05898690223694,-1010.1389271546589,38
LLM-GA_depth3_p0.05,165.62745428085327,-1010.1389271546589,21
LLM-GA_depth3_p0.1,173.25896859169006,-1010.1389271546589,7
LLM-GA_depth3_p0.3,183.26895403862,-1010.1389271546589,13
LLM-GA_depth3_p0.5,195.2029116153717,-1010.1389271546589,4
LLM-GA_depth3_p0.7,216.32589435577393,-1010.1389271546589,6
LLM-GA_depth3_p0.9,230.7034192085266,-1010.1389271546589,4
